ID	GRADRAT	CSAT	MATRICULADOS	PUBLICO	STUAULA	GASTO	ACT
1002	40	NA	6.89162589705225	1	14.3	2.55	17
1003	55	NA	5.18738580584075	0	32.8	3.25	20
1004	51	NA	6.3456363608286	1	18.9	NA	21
1005	15	NA	7.15305163493748	1	18.7	NA	NA
1009	69	1076	8.02943284058124	1	16.7	NA	24
1012	72	1100	5.65948221575962	0	14	4.48	26
1016	76	NA	6.4377516497364	1	19.4	2.536	NA
1019	44	959	4.84418708645859	0	11.4	3.92	23
1020	33	NA	6.78784498230958	1	20.1	2.6	20
1023	43	NA	4.91998092582813	0	17.9	NA	22
1024	36	NA	6.09582456243222	1	18.8	2.449	19
1028	15	NA	5.48893772615669	0	16.7	2.7	NA
1029	52	NA	5.59471137960184	0	16.6	NA	22
1033	NA	760	5.95324333428778	0	14.5	NA	17
1036	61	NA	6.53813982376767	0	14.7	NA	NA
1041	70	990	5.4380793089232	0	14.4	4.788	24
1044	47	NA	5.51342874616498	0	14.3	2.754	NA
1046	46	NA	5.81413053182507	0	15.5	2.964	NA
1047	48	980	6.71417052990947	1	23	2.57	20
1050	65	NA	6.4150969591716	0	12.2	NA	NA
1051	50	NA	7.89431806384162	1	17.3	3.53	23
1052	33	NA	6.84374994900622	1	6.7	5.175	21
1055	38	1010	6.09807428216624	1	12.7	3.5	24
1057	43	NA	6.95368421087054	1	13.3	2.85	23
1061	15	972	4.00733318523247	0	11.9	4.12	20
1063	NA	961	6.8330317327862	1	10	3.59	22
1065	39	NA	4.48863636973214	1	9.5	4.764	NA
1074	81	926	5.12989871492307	0	14.2	NA	22
1081	48	974	8.23244015847034	1	18.9	NA	23
1082	41	939	7.58731050602262	1	21.7	3.728	22
1083	49	983	8.41825644355621	1	19.6	4.216	23
1085	NA	NA	6.49526555593701	1	42.6	2.31	NA
1086	NA	694	6.61204103483309	1	16.2	NA	16
1088	54	NA	5.11198778835654	0	12.6	3.922	25
1089	48	NA	6.85751406254539	1	19.6	NA	21
1090	39	NA	7.30518821539304	1	20	NA	21
1092	36	NA	7.49108759353488	1	20.5	2.6	22
1094	NA	NA	4.83628190695148	0	12.8	2.85	NA
1098	68	NA	6.64768837356333	1	19	NA	NA
1099	63	1089	5.61312810638807	0	13.1	3.195	26
1100	75	993	5.64897423816121	0	13.3	3.672	23
1101	19	NA	7.08506429395255	1	14.7	NA	19
1102	65	NA	6.10924758276437	0	13.3	NA	NA
1103	NA	NA	5.40267738187228	0	18.1	1.26	NA
1106	NA	NA	4.87519732320115	0	18	NA	19
